Timestamp,Ultrasonic(cm),LiDAR(cm),Status,Snapshot
2026-04-21 20:04:38.972,29.7,75.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200438_968_obstacle.jpg
2026-04-21 20:04:39.478,29.7,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200439_474_obstacle.jpg
2026-04-21 20:04:39.784,29.7,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200439_780_obstacle.jpg
2026-04-21 20:04:45.113,29.7,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200445_109_obstacle.jpg
2026-04-21 20:05:10.943,29.8,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200510_939_obstacle.jpg
2026-04-21 20:05:13.761,29.7,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200513_757_obstacle.jpg
2026-04-21 20:05:13.966,29.7,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200513_962_obstacle.jpg
2026-04-21 20:05:14.271,29.8,76.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200514_267_obstacle.jpg
2026-04-21 20:05:15.381,29.7,76.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200515_377_obstacle.jpg
2026-04-21 20:05:24.630,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200524_625_obstacle.jpg
2026-04-21 20:05:42.728,29.7,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200542_724_obstacle.jpg
2026-04-21 20:05:46.150,29.8,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200546_146_obstacle.jpg
2026-04-21 20:05:47.362,29.7,76.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200547_357_obstacle.jpg
2026-04-21 20:05:49.378,29.7,77.0,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200549_374_obstacle.jpg
2026-04-21 20:05:49.684,29.8,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200549_680_obstacle.jpg
2026-04-21 20:05:50.595,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200550_591_obstacle.jpg
2026-04-21 20:05:51.001,29.7,76.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200550_997_obstacle.jpg
2026-04-21 20:05:52.011,29.8,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200552_007_obstacle.jpg
2026-04-21 20:05:54.027,29.8,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200554_021_obstacle.jpg
2026-04-21 20:05:54.333,29.8,76.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200554_329_obstacle.jpg
2026-04-21 20:05:56.649,29.7,76.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200556_645_obstacle.jpg
2026-04-21 20:05:57.558,29.7,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200557_554_obstacle.jpg
2026-04-21 20:05:57.963,29.7,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200557_960_obstacle.jpg
2026-04-21 20:05:58.168,29.7,75.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200558_165_obstacle.jpg
2026-04-21 20:05:58.474,29.7,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200558_470_obstacle.jpg
2026-04-21 20:05:59.684,29.7,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200559_680_obstacle.jpg
2026-04-21 20:06:36.074,29.8,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200636_070_obstacle.jpg
2026-04-21 20:06:37.689,29.7,77.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200637_685_obstacle.jpg
2026-04-21 20:06:38.397,29.8,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200638_393_obstacle.jpg
2026-04-21 20:06:39.607,29.7,76.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200639_603_obstacle.jpg
2026-04-21 20:06:39.812,29.8,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200639_808_obstacle.jpg
2026-04-21 20:06:40.318,29.8,76.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200640_314_obstacle.jpg
2026-04-21 20:06:40.624,29.7,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200640_620_obstacle.jpg
2026-04-21 20:06:52.488,29.7,76.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200652_485_obstacle.jpg
2026-04-21 20:06:52.895,29.7,76.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200652_891_obstacle.jpg
2026-04-21 20:06:55.816,29.7,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200655_812_obstacle.jpg
2026-04-21 20:06:56.434,29.7,75.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200656_430_obstacle.jpg
2026-04-21 20:07:00.767,29.7,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200700_763_obstacle.jpg
2026-04-21 20:07:01.475,29.8,76.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200701_471_obstacle.jpg
2026-04-21 20:07:03.187,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200703_183_obstacle.jpg
2026-04-21 20:07:03.995,29.7,75.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200703_992_obstacle.jpg
2026-04-21 20:07:05.307,29.7,76.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200705_302_obstacle.jpg
2026-04-21 20:07:13.051,29.8,76.0,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200713_047_obstacle.jpg
2026-04-21 20:07:17.979,29.8,76.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200717_975_obstacle.jpg
2026-04-21 20:08:14.390,29.7,76.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200814_386_obstacle.jpg
2026-04-21 20:08:48.361,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200848_356_obstacle.jpg
2026-04-21 20:08:51.078,29.7,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200851_074_obstacle.jpg
2026-04-21 20:09:23.234,29.8,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200923_230_obstacle.jpg
2026-04-21 20:09:52.375,29.7,76.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200952_370_obstacle.jpg
2026-04-21 20:10:07.286,29.7,76.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201007_278_obstacle.jpg
2026-04-21 20:10:31.415,29.7,76.0,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201030_778_obstacle.jpg
2026-04-21 20:10:32.285,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201032_279_obstacle.jpg
2026-04-21 20:10:44.787,29.7,75.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201044_780_obstacle.jpg
2026-04-21 20:10:44.996,29.7,75.0,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201044_991_obstacle.jpg
2026-04-21 20:10:46.107,29.7,76.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201046_103_obstacle.jpg
2026-04-21 20:10:48.931,29.7,75.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201048_926_obstacle.jpg
2026-04-21 20:11:17.834,30.0,41.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201117_480_obstacle.jpg
2026-04-21 20:11:19.349,29.8,33.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201119_345_obstacle.jpg
2026-04-21 20:11:20.060,29.4,35.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201120_055_obstacle.jpg
2026-04-21 20:11:21.172,29.7,43.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201121_167_obstacle.jpg
2026-04-21 20:11:21.983,29.9,43.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201121_977_obstacle.jpg
2026-04-21 20:11:25.916,29.4,46.0,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201125_910_obstacle.jpg
2026-04-21 20:11:31.850,29.7,39.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201131_845_obstacle.jpg
2026-04-21 20:11:39.823,29.7,38.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201139_418_obstacle.jpg
2026-04-21 20:11:46.373,30.0,38.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201143_118_obstacle.jpg
2026-04-21 20:11:56.139,29.5,39.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201156_111_obstacle.jpg
2026-04-21 20:11:56.647,29.5,39.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201156_643_obstacle.jpg
2026-04-21 20:12:15.966,29.7,38.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201215_959_obstacle.jpg
2026-04-21 20:12:16.276,29.5,39.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201216_270_obstacle.jpg
2026-04-21 20:12:17.084,29.7,46.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201217_081_obstacle.jpg
2026-04-21 20:12:19.199,30.0,44.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201219_195_obstacle.jpg
2026-04-21 20:12:19.505,29.8,43.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201219_501_obstacle.jpg
2026-04-21 20:12:20.011,29.4,42.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201220_007_obstacle.jpg
2026-04-21 20:12:23.632,30.0,36.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201223_629_obstacle.jpg
2026-04-21 20:12:24.039,29.8,36.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201224_035_obstacle.jpg
2026-04-21 20:12:24.545,29.7,34.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201224_541_obstacle.jpg
2026-04-21 20:12:24.851,29.7,35.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_201224_847_obstacle.jpg
